pyDanQ AU ROC	pyDanQ AU PR
0.94449	0.55289
0.89191	0.25948
0.90845	0.18524
0.84390	0.11198
0.88851	0.37312
0.97754	0.30039
0.92269	0.18015
0.87389	0.02185
0.95666	0.22605
0.91691	0.26062
0.97423	0.59789
0.98274	0.48903
0.97644	0.56643
0.97119	0.62813
0.98036	0.45558
0.97945	0.24623
0.97952	0.59166
0.93732	0.42149
0.97744	0.55260
0.97269	0.54499
0.97269	0.57698
0.97562	0.48048
0.97881	0.60031
0.89644	0.00878
0.98062	0.49825
0.95472	0.44853
0.95178	0.08948
0.97265	0.56069
0.95052	0.51106
0.98401	0.14533
0.98922	0.71006
0.93153	0.38121
0.97250	0.13641
0.97776	0.53660
0.97204	0.45467
0.97604	0.20018
0.97572	0.57421
0.94836	0.43931
0.95373	0.18703
0.96696	0.33017
0.95741	0.12930
0.95220	0.35067
0.97066	0.57782
0.97246	0.57579
0.97140	0.56139
0.97217	0.57614
0.96427	0.61765
0.97351	0.55577
0.96986	0.47510
0.92865	0.39740
0.97440	0.60389
0.97888	0.52362
0.94946	0.44497
0.97193	0.63016
0.97579	0.58873
0.96558	0.60286
0.97547	0.64671
0.96753	0.60448
0.96692	0.59094
0.96951	0.57644
0.96547	0.64169
0.96977	0.63317
0.98235	0.62516
0.97528	0.63685
0.99592	0.25727
0.97364	0.64185
0.97843	0.65801
0.97343	0.64206
0.97125	0.65012
0.98428	0.64973
0.98159	0.61440
0.98221	0.64922
0.96689	0.62745
0.97501	0.64491
0.96545	0.63176
0.97463	0.62034
0.96276	0.61946
0.96030	0.62562
0.97210	0.63738
0.96751	0.61575
0.97877	0.63756
0.98043	0.63138
0.97889	0.62869
0.97840	0.63197
0.97281	0.65555
0.99454	0.65850
0.96686	0.62529
0.96718	0.62166
0.96024	0.62841
0.97041	0.60196
0.97551	0.63376
0.97363	0.60793
0.98246	0.64535
0.96891	0.64140
0.97833	0.62397
0.96736	0.61060
0.98486	0.66470
0.96273	0.60428
0.97377	0.64175
0.97439	0.58550
0.96621	0.68485
0.97920	0.65466
0.98202	0.62641
0.97924	0.61118
0.93290	0.68460
0.84703	0.33313
0.86739	0.14866
0.79748	0.06113
0.84744	0.14632
0.87437	0.11057
0.82267	0.05879
0.85340	0.22102
0.88063	0.06067
0.85426	0.30975
0.85565	0.04164
0.95072	0.46298
0.85495	0.40005
0.87901	0.45491
0.78693	0.17917
0.85578	0.05137
0.84564	0.35285
0.91037	0.71507
0.97555	0.85705
0.89184	0.25621
0.86624	0.10536
0.84566	0.11771
0.93950	0.63178
0.81284	0.22689
0.86092	0.24540
0.85775	0.30272
0.91500	0.46204
0.82992	0.49961
0.85767	0.44534
0.85600	0.45565
0.84264	0.08260
0.77970	0.14144
0.79647	0.33925
0.87878	0.56070
0.89569	0.57760
0.80450	0.33517
0.87915	0.51699
0.87007	0.04270
0.84665	0.07769
0.85526	0.12850
0.88275	0.57637
0.79539	0.46563
0.79290	0.42678
0.74990	0.25249
0.80765	0.51835
0.89652	0.66911
0.88738	0.63854
0.76562	0.30266
0.90806	0.60423
0.81578	0.30233
0.74509	0.25677
0.93323	0.63061
0.84438	0.51448
0.82714	0.28460
0.76976	0.13453
0.81796	0.50786
0.88359	0.68971
0.92600	0.69325
0.78579	0.33080
0.87931	0.59085
0.82421	0.15055
0.79299	0.23557
0.93256	0.54741
0.84612	0.39018
0.86219	0.20948
0.78841	0.05213
0.79538	0.33206
0.88450	0.57383
0.94118	0.63893
0.78702	0.27030
0.91900	0.55282
0.85825	0.10726
0.79865	0.15424
0.88354	0.49934
0.83651	0.50371
0.86375	0.37768
0.78480	0.21418
0.79815	0.48408
0.86222	0.61037
0.91472	0.67617
0.78827	0.33680
0.88546	0.58281
0.81891	0.05282
0.81138	0.14685
0.79735	0.09570
0.92747	0.50516
0.85017	0.49342
0.84989	0.27405
0.87763	0.20729
0.79348	0.28131
0.87814	0.55893
0.95461	0.71284
0.79296	0.30473
0.94627	0.66244
0.89994	0.17667
0.78241	0.02504
0.88657	0.53256
0.80373	0.48608
0.78168	0.27059
0.76347	0.19967
0.79094	0.49125
0.86802	0.62829
0.91382	0.67842
0.77766	0.33421
0.80139	0.11327
