pyDanQ AU ROC	pyDanQ AU PR
0.79797	0.09495
0.92817	0.51992
0.85337	0.50363
0.84751	0.27258
0.87701	0.19452
0.79568	0.28845
0.87957	0.55994
0.95478	0.71893
0.79487	0.29687
0.94665	0.66224
0.89416	0.16624
0.78235	0.02348
0.88782	0.54318
0.80873	0.49853
0.78009	0.26945
0.76340	0.19180
0.79455	0.50364
0.87074	0.63655
0.91478	0.67637
0.77873	0.32570
0.79670	0.10851
